timestamp,lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,mass_air_flow,absolute_throttle_pos,fuel_level,gps_speed,fuel_rate,alcohol_fuel_percentage,engine_fuel_rate,vehicle_fuel_rate,fuel_remaining,fuel_level_a,fuel_level_b,instant_fuel_economy,calculated_load_value,fuel_rail_pressure,fuel_rail_pressure_vacuum,accelerator_pos_d,accelerator_pos_e
09:56:59.934,-2.293.069,-4.397.846,0,0,0,0,1956,0,0,0,6.529.809,0,0,0,0,0,0,0,0,,,,,
09:57:01.529,-2.293.086,-4.397.891,68,2.576.233,2.589.221,8.932.681,2012.25,26.33,8.235.294,7.019.608,681.357,8.762.434,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:01.532,-2.293.086,-4.397.891,68,3.630.156,3.824.453,-1.949.017,2012.25,26.33,8.235.294,7.019.608,681.357,8.762.434,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:01.534,-2.293.086,-4.397.891,68,3.630.156,3.824.453,-1.949.017,2012.25,26.33,8.235.294,7.019.608,681.357,8.762.434,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:01.535,-2.293.086,-4.397.891,68,3.630.156,3.824.453,-1.949.017,2012.25,26.33,8.235.294,7.019.608,681.357,8.762.434,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:02.930,-2.293.093,-4.397.915,70,-2.188.552,2.294.984,1.953.142,2078.75,27.53,8.392.157,7.019.608,7.043.199,9.161.785,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:02.932,-2.293.093,-4.397.915,70,-2.188.552,2.294.984,1.953.142,2078.75,27.53,8.392.157,7.019.608,7.043.199,9.161.785,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:02.938,-2.293.093,-4.397.915,70,-4.330.871,1.748.078,1.650.781,2078.75,27.53,8.392.157,7.019.608,7.043.199,9.161.785,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:02.942,-2.293.093,-4.397.915,70,-4.330.871,1.748.078,1.650.781,2078.75,27.53,8.392.157,7.019.608,7.043.199,9.161.785,3.490.196,0,0,0,9.827.451,0,0,,,,,
09:57:03.935,-2.293.096,-4.397.928,71,2.730.191,4.860.751,3.779.193,2143.75,28.7,3.803.922,7.254.902,7.192.273,9.551.153,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:03.936,-2.293.096,-4.397.928,71,2.730.191,4.860.751,3.779.193,2143.75,28.7,3.803.922,7.254.902,7.192.273,9.551.153,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:03.942,-2.293.096,-4.397.928,71,-6.360.979,1.824.542,9.063.318,2143.75,28.7,3.803.922,7.254.902,7.192.273,9.551.153,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:03.944,-2.293.096,-4.397.928,71,-6.360.979,1.824.542,9.063.318,2143.75,28.7,3.803.922,7.254.902,7.192.273,9.551.153,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:04.930,-2.293.102,-4.397.949,72,2.412.506,2.341.229,1.493.305,2104.75,18.2,3.490.196,7.254.902,7.317.995,6.056.828,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:04.932,-2.293.102,-4.397.949,72,2.412.506,2.341.229,1.493.305,2104.75,18.2,3.490.196,7.254.902,7.317.995,6.056.828,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:04.938,-2.293.102,-4.397.949,72,2.412.506,2.341.229,1.493.305,2104.75,18.2,3.490.196,7.254.902,7.317.995,6.056.828,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:04.940,-2.293.102,-4.397.949,72,2.412.506,2.341.229,1.493.305,2104.75,18.2,3.490.196,7.254.902,7.317.995,6.056.828,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:05.933,-2.293.108,-4.397.971,72,4.403.362,-6.986.607,-1.040.103,1605.5,18.39,3.647.059,7.254.902,739.052,6.120.059,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:05.935,-2.293.108,-4.397.971,72,4.403.362,-6.986.607,-1.040.103,1605.5,18.39,3.647.059,7.254.902,739.052,6.120.059,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:05.939,-2.293.108,-4.397.971,72,4.403.362,-6.986.607,-1.040.103,1605.5,18.39,3.647.059,7.254.902,739.052,6.120.059,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:05.942,-2.293.108,-4.397.971,72,4.403.362,-6.986.607,-1.040.103,1605.5,18.39,3.647.059,7.254.902,739.052,6.120.059,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:06.933,-2.293.112,-4.397.992,74,-6.395.196,-3.734.715,-2.536.307,1663.75,21.4,3.843.137,7.254.902,742.288,7.121.766,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:06.936,-2.293.112,-4.397.992,74,-6.395.196,-3.734.715,-2.536.307,1663.75,21.4,3.843.137,7.254.902,742.288,7.121.766,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:06.941,-2.293.112,-4.397.992,74,-6.395.196,-3.734.715,-2.536.307,1663.75,21.4,3.843.137,7.254.902,742.288,7.121.766,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:06.943,-2.293.112,-4.397.992,74,-6.395.196,-3.734.715,-2.536.307,1663.75,21.4,3.843.137,7.254.902,742.288,7.121.766,3.490.196,0,0,0,1.015.686,0,0,,,,,
09:57:08.906,-2.293.121,-4.398.032,74,2.417.885,-5.942.839,-9.322.067,1674.75,6.96,2.666.667,6.980.392,7.509.319,2.316.238,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:08.910,-2.293.121,-4.398.032,74,2.417.885,-5.942.839,-9.322.067,1674.75,6.96,2.666.667,6.980.392,7.509.319,2.316.238,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:08.912,-2.293.121,-4.398.032,74,2.417.885,-5.942.839,-9.322.067,1674.75,6.96,2.666.667,6.980.392,7.509.319,2.316.238,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:08.912,-2.293.121,-4.398.032,74,2.417.885,-5.942.839,-9.322.067,1674.75,6.96,2.666.667,6.980.392,7.509.319,2.316.238,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:09.930,-2.293.125,-4.398.053,74,4.253.089,456.004,-970.165,1644.75,7.38,2.862.745,6.980.392,7.412.915,2.456.011,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:09.934,-2.293.125,-4.398.053,74,8.180.009,587.869,9.731.546,1644.75,7.38,2.862.745,6.980.392,7.412.915,2.456.011,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:09.936,-2.293.125,-4.398.053,74,8.180.009,587.869,9.731.546,1644.75,7.38,2.862.745,6.980.392,7.412.915,2.456.011,3.490.196,0,0,0,9.772.549,0,0,,,,,
09:57:09.940,-2.293.125,-4.398.053,74,8.180.009,587.869,9.731.546,1644.75,7.38,2.862.745,6.980.392,7.412.915,2.456.011,3.490.196,0,0,0,9.772.549,0,0,,,,,
